node,Aldabra,Anjouan,Europa,Grande_Comore,Grande_Glorieuse,Juan_de_Nova,Madagascar,Mauritius,Moheli,Reunion,Rodrigues,Seychelles
66,0.090432612312812,0.0361064891846922,0.0456738768718802,0.127038269550749,0.0580698835274542,0.0505823627287854,0.0433444259567388,0.150415973377704,0.0975873544093178,0.195341098169717,0.0656405990016639,0.0397670549084859
67,0.0957535387177352,0.0357202331390508,0.048293089092423,0.138800999167361,0.0666944213155704,0.0534554537885096,0.0461282264779351,0.140466278101582,0.0885095753538718,0.184346378018318,0.0636969192339717,0.0381348875936719
68,0.16553262688232,0.0437255995538204,0.0722810931399888,0.180591187953151,0.10005577244841,0.082989403234802,0.0540992749581707,0.0250976017847183,0.132515337423313,0.0399330730619074,0.056553262688232,0.0466257668711656
69,0.321963394342762,0.021630615640599,0.115474209650582,0.0793677204658902,0.154159733777038,0.118801996672213,0.0391014975041597,0.000249584026622296,0.0608153078202995,0.000582362728785358,0.0154742096505824,0.0723793677204659
7,0,0,0,0,0,0,0,0,0,0,1,0
70,0.380533703532315,0.0169674533395033,0.123399660650933,0.0592318371124479,0.116149930587691,0.128181397501157,0.0334721579515656,0,0.0515193583217646,0,0.0109517198827703,0.0795927811198519
71,0.43004564397698,0.015082357610637,0.0934709267711848,0.0515975391942846,0.102996626314745,0.0978368723953165,0.0307600714427466,0,0.042865647946021,0,0.0117086723556261,0.123635641992459
72,0.41650696307653,0.0150760189089051,0.0905838763255398,0.0470167369362463,0.0889229589881181,0.0918615050466334,0.0272134917592947,0,0.0425450364124186,0.000127762872109365,0.0116264213619522,0.168519228312252
73,0.0310316139767055,0.00266222961730449,0.0108985024958403,0.00698835274542429,0.0135607321131448,0.0102329450915141,0.00474209650582363,0,0.00757071547420965,0,0.00257903494176373,0.90973377703827
74,0.00357737104825291,0.000332778702163062,0.00133111480865225,0.000748752079866888,0.00158069883527454,0.000998336106489185,0.000582362728785358,0,0.000998336106489185,0,0.000166389351081531,0.989683860232945
75,0.000841821702163482,8.41821702163482e-05,0.000336728680865393,8.41821702163482e-05,0.000505093021298089,0.000252546510649045,0.000168364340432696,0,8.41821702163482e-05,0,0,0.997642899233942
76,0.000380083618396047,0.000126694539465349,0.000126694539465349,0.000126694539465349,0,0,0,0,0,0,0.000126694539465349,0.999113138223743
77,0.166092870937946,0.0171299017549752,0.286086153329415,0.0441682760937106,0.104122932236124,0.281467797464103,0.0314887899907633,0,0.0385422789486943,0,0.00822907045091947,0.0226719287933496
78,0.00299500831946755,0.00174708818635607,0.0019134775374376,0.00565723793677205,0.00257903494176373,0.00174708818635607,0.00324459234608985,0.437104825291181,0.00391014975041597,0.531946755407654,0.00532445923460899,0.00183028286189684
79,0.000166389351081531,0.000166389351081531,0,0.000166389351081531,0,0,0.000415973377703827,0.47171381031614,0.000249584026622296,0.526289517470882,0.000665557404326123,0.000166389351081531
8,0,0,0,0,0,0,0,0,0,0,0,1
80,0.000249584026622296,0.000166389351081531,0,0,0,0,8.31946755407654e-05,0.445008319467554,8.31946755407654e-05,0.553743760399334,0.000582362728785358,8.31946755407654e-05
81,0.000166791760487032,8.3395880243516e-05,0,0.000166791760487032,0.000166791760487032,0,0.000166791760487032,0.422233341672921,8.3395880243516e-05,0.576348928362939,0.000500375281461096,8.3395880243516e-05
82,8.31946755407654e-05,0.000166389351081531,0,8.31946755407654e-05,0,0,0,0.541597337770383,8.31946755407654e-05,0.457737104825291,0.000249584026622296,0
83,0,0,0,0,0,0,0,0.557885975863504,0.000166458593424886,0.441864336246359,8.32292967124428e-05,0
84,0,0,0,0.000249584026622296,0,0,0,0.591680532445923,8.31946755407654e-05,0.407986688851913,0,0
85,0,0,0,0,0,0,0,0.619986686636712,0,0.379930104842736,8.32085205525046e-05,0
86,0.000249584026622296,8.31946755407654e-05,0,8.31946755407654e-05,0,0,0,0.535191347753744,0.000166389351081531,0.463976705490849,0.000249584026622296,0
87,0.000167476134650812,8.37380673254061e-05,0.000251214201976218,0.00159102327918272,0.000334952269301625,0.000418690336627031,0.000502428403952437,0.512895662368113,0.000418690336627031,0.48249874392899,0.000669904538603249,0.000167476134650812
88,0.000237304224015187,0,0,0,0,0,0,0.538205980066445,0.000118652112007594,0.461200759373517,0.000237304224015187,0
89,0.000258064516129032,0,0,0,0,0,0,0.535741935483871,0.000129032258064516,0.463612903225806,0.000258064516129032,0
9,0,0,0,0,0,0,0,0,0,0,0,1
90,0.000167070420182107,8.35352100910534e-05,0,0,8.35352100910534e-05,0,0,0.534541809372651,8.35352100910534e-05,0.464873444156712,0.000167070420182107,0
91,0,0,0.000166389351081531,0.000249584026622296,0,0,0,0.521297836938436,0.000166389351081531,0.477953410981697,0.000166389351081531,0
92,0,0.000118595825426945,0,0.000118595825426945,0,0,0,0.540322580645161,0,0.459084440227704,0.000355787476280835,0
93,0,0,0,0,0,0.000117054898747513,0,0.543720004682196,0,0.456045885520309,0.000117054898747513,0
94,0,0,0,8.31946755407654e-05,0.000166389351081531,0,8.31946755407654e-05,0.51414309484193,0,0.485274542429285,0.000166389351081531,8.31946755407654e-05
95,8.31946755407654e-05,0,0,0.000166389351081531,0,0,0,0.515307820299501,0.000332778702163062,0.483610648918469,0.000499168053244592,0
96,0,0.000166389351081531,8.31946755407654e-05,0,0.000166389351081531,0,0,0.552079866888519,0,0.446921797004992,0.000499168053244592,8.31946755407654e-05
97,0.000167364016736402,0.000167364016736402,0,0,0.000167364016736402,0,0,0.557238493723849,0.000251046025104603,0.441757322175732,8.36820083682008e-05,0.000167364016736402
98,0,0,0,0,0,0,0,0.585539949343772,0.000115127791848952,0.414114667280682,0.000115127791848952,0.000115127791848952
99,0,8.3236224404861e-05,0,0,0,0,0,0.534210088230398,8.3236224404861e-05,0.465623439320792,0,0
